Item,Description,Quantity,Price,Link
Arduino Nano V3.0,Main 5V microcontroller board (ATmega328P/CH340G),2,9.99,https://www.amazon.com/gp/product/B0F1FQMNXM/ref=ox_sc_act_image_4?smid=A3EUM5QJ0XFZ3D&th=1
MPU-6050 (GY-521),6-axis accelerometer and gyroscope module for motion detection,1,6.99,https://www.amazon.com/gp/product/B01DK83ZYQ/ref=ox_sc_act_image_8?smid=A30QSGOJR8LMXA&th=1
MAX7219 8x8 LED Matrix,LED display module used to show dice faces and animations,2,6.99,https://www.amazon.com/gp/product/B07VM6HXN5/ref=ox_sc_act_image_3?smid=A3S807LE0L63AP&th=1
Female-Female Dupont Wires,Wires to wire project parts together,40,4.99,https://www.amazon.com/gp/product/B07VM6HXN5/ref=ox_sc_act_image_3?smid=A3S807LE0L63AP&th=1
Wrist Brace Strap,Base for mounting and wearing the electronic components,2,5.99,https://www.amazon.com/gp/product/B0D5745S9J/ref=ox_sc_act_image_6?smid=A3P2WI9TEEGJNE&psc=1
Total,,,47.91,
